ID,Main,Description
200,Thunderstorm,雷と小雨
201,Thunderstorm,雷雨
202,Thunderstorm,雷と強雨
210,Thunderstorm,弱雷雨
211,Thunderstorm,雷雨
212,Thunderstorm,強雷雨
221,Thunderstorm,強強雷雨
230,Drizzle,雷雨と弱霧
231,Drizzle,雷雨と霧
232,Drizzle,雷雨と強霧
300,Drizzle,弱霧
301,Drizzle,霧
302,Drizzle,強霧
310,Drizzle,弱霧雨
311,Drizzle,霧雨
312,Drizzle,強霧雨
313,Drizzle,にわか雨と霧
314,Drizzle,強にわか雨と霧
321,Drizzle,にわか雨
500,Rain,小雨
501,Rain,雨
502,Rain,強雨
503,Rain,強強雨
504,Rain,豪雨
511,Rain,着氷性雨
520,Rain,弱にわか雨
521,Rain,にわか雨
522,Rain,強にわか雨
531,Rain,ときどきにわか雨
600,Snow,弱雪
601,Snow,雪
602,Snow,強雪
611,Snow,微みぞれ
612,Snow,弱みぞれ
613,Snow,みぞれ
615,Snow,小雨と雪
616,Snow,雨と雪
620,Snow,小雪とみぞれ
621,Snow,雪
622,Snow,強雪
701,Mist,霧
711,Smoke,煙
721,Haze,もや
731,Dust,砂ホコリ
741,Fog,霧
751,Sand,砂
761,Dust,砂嵐
762,Ash,火山灰
771,Squall,スコール
781,Tornado,竜巻
800,Clear,ピーカン！
801,Clouds,曇り11-25%
802,Clouds,曇25-50%
803,Clouds,曇51-84%
804,Clouds,曇り85-100%